step,total_energy,delta_energy
0,1.75908e+12,0
100,1.75613e+12,-0.00167684
200,1.75938e+12,0.000171817
300,1.7644e+12,0.00302492
400,1.77502e+12,0.00906528
500,1.78505e+12,0.0147656
600,1.78976e+12,0.0174403
700,1.78954e+12,0.0173147
800,1.78405e+12,0.0141934
900,1.77575e+12,0.0094791
1000,1.76249e+12,0.00194106
1100,1.76144e+12,0.0013433
1200,1.75524e+12,-0.00218044
1300,1.75103e+12,-0.0045743
1400,1.75039e+12,-0.00493721
1500,1.75091e+12,-0.00464307
1600,1.75112e+12,-0.00452515
1700,1.75285e+12,-0.00353964
1800,1.75863e+12,-0.000252827
1900,1.7694e+12,0.00586545
2000,1.78442e+12,0.0144049
2100,1.78342e+12,0.0138376
2200,1.79094e+12,0.0181143
2300,1.78432e+12,0.0143525
2400,1.78182e+12,0.01293
2500,1.77251e+12,0.00763812
2600,1.76525e+12,0.0035099
2700,1.75615e+12,-0.00166688
2800,1.75523e+12,-0.00218555
2900,1.75789e+12,-0.000673416
3000,1.76189e+12,0.00160064
3100,1.75357e+12,-0.00313122
3200,1.75926e+12,0.000102481
3300,1.76187e+12,0.00158589
3400,1.76776e+12,0.00493585
3500,1.77061e+12,0.00655614
3600,1.7713e+12,0.00695029
3700,1.77225e+12,0.00749048
3800,1.76849e+12,0.00535202
3900,1.77384e+12,0.00839465
4000,1.76951e+12,0.00593093
4100,1.77599e+12,0.0096168
4200,1.77249e+12,0.00762466
4300,1.76236e+12,0.001866
4400,1.76819e+12,0.00517761
4500,1.76558e+12,0.00369601
4600,1.77112e+12,0.00684472
4700,1.77111e+12,0.0068399
4800,1.75945e+12,0.000211436
4900,1.76977e+12,0.00607738
5000,1.76906e+12,0.00567484
5100,1.76339e+12,0.00245009
5200,1.76556e+12,0.00368559
5300,1.76382e+12,0.00269712
5400,1.76969e+12,0.00603302
5500,1.76149e+12,0.001372
5600,1.76397e+12,0.00277994
5700,1.7662e+12,0.00404632
5800,1.76743e+12,0.00474891
5900,1.78204e+12,0.0130543
6000,1.76888e+12,0.00556959
6100,1.78137e+12,0.0126737
6200,1.77244e+12,0.00759337
6300,1.77128e+12,0.00693665
6400,1.7632e+12,0.00234236
6500,1.76412e+12,0.00286782
6600,1.75879e+12,-0.000165345
6700,1.76563e+12,0.00372323
6800,1.77049e+12,0.00648866
6900,1.77166e+12,0.00715167
7000,1.76778e+12,0.00494763
7100,1.7639e+12,0.00274309
7200,1.76828e+12,0.005231
7300,1.76166e+12,0.00146941
7400,1.75224e+12,-0.00388901
7500,1.76297e+12,0.00221523
7600,1.78064e+12,0.0122558
7700,1.77881e+12,0.0112148
7800,1.77534e+12,0.00924635
7900,1.76791e+12,0.00502017
8000,1.75758e+12,-0.000852163
8100,1.76515e+12,0.0034545
8200,1.76753e+12,0.00480528
8300,1.77093e+12,0.00673883
8400,1.76793e+12,0.00503
8500,1.76144e+12,0.00134505
8600,1.77044e+12,0.0064588
8700,1.76605e+12,0.00396115
8800,1.76986e+12,0.0061271
8900,1.76493e+12,0.00332903
9000,1.77349e+12,0.00819315
9100,1.77444e+12,0.00873359
9200,1.76495e+12,0.00333907
9300,1.77283e+12,0.00781947
9400,1.77215e+12,0.00742911
9500,1.76193e+12,0.00161941
9600,1.76569e+12,0.00375836
9700,1.76671e+12,0.00433835
9800,1.77202e+12,0.00735668
9900,1.76919e+12,0.00575021
10000,1.75753e+12,-0.000879146

