step,total_energy,delta_energy
0,1.75908e+12,0
100,1.75629e+12,-0.00158563
200,1.75989e+12,0.000459352
300,1.76531e+12,0.00354541
400,1.77621e+12,0.00973934
500,1.78611e+12,0.0153666
600,1.79085e+12,0.0180602
700,1.79032e+12,0.0177589
800,1.785e+12,0.014736
900,1.77588e+12,0.00955271
1000,1.76565e+12,0.0037345
1100,1.75991e+12,0.00047279
1200,1.75269e+12,-0.00363386
1300,1.74876e+12,-0.00586775
1400,1.7481e+12,-0.00623786
1500,1.75216e+12,-0.00393029
1600,1.75162e+12,-0.00424148
1700,1.76184e+12,0.00157262
1800,1.76546e+12,0.0036262
1900,1.77277e+12,0.00778285
2000,1.78542e+12,0.0149741
2100,1.78776e+12,0.0163038
2200,1.79397e+12,0.0198341
2300,1.78179e+12,0.0129127
2400,1.77528e+12,0.00921284
2500,1.76715e+12,0.00458705
2600,1.76579e+12,0.00381601
2700,1.77079e+12,0.00665564
2800,1.76044e+12,0.000774048
2900,1.75651e+12,-0.00145724
3000,1.75309e+12,-0.00340131
3100,1.75478e+12,-0.00244418
3200,1.75851e+12,-0.000324116
3300,1.76419e+12,0.00290606
3400,1.76367e+12,0.00261253
3500,1.76394e+12,0.00276576
3600,1.78497e+12,0.0147213
3700,1.77601e+12,0.00962415
3800,1.78249e+12,0.0133108
3900,1.7744e+12,0.00870792
4000,1.77377e+12,0.00834972
4100,1.76981e+12,0.00610335
4200,1.76954e+12,0.00594982
4300,1.7611e+12,0.00114856
4400,1.7582e+12,-0.00049854
4500,1.77063e+12,0.00656632
4600,1.76649e+12,0.00421568
4700,1.76528e+12,0.00352548
4800,1.76597e+12,0.00392027
4900,1.76006e+12,0.000559066
5000,1.77078e+12,0.00665436
5100,1.77449e+12,0.00875897
5200,1.77069e+12,0.0065988
5300,1.76976e+12,0.00607378
5400,1.77298e+12,0.00790364
5500,1.76746e+12,0.00476558
5600,1.77335e+12,0.00811427
5700,1.77194e+12,0.0073099
5800,1.76267e+12,0.00204188
5900,1.75634e+12,-0.00155811
6000,1.75973e+12,0.000373629
6100,1.7634e+12,0.0024567
6200,1.77021e+12,0.00632617
6300,1.7815e+12,0.0127461
6400,1.76217e+12,0.00175838
6500,1.77731e+12,0.010367
6600,1.77842e+12,0.010993
6700,1.77002e+12,0.00622176
6800,1.7674e+12,0.00473072
6900,1.76593e+12,0.00389758
7000,1.76771e+12,0.00490823
7100,1.76756e+12,0.00481937
7200,1.76476e+12,0.00323123
7300,1.75895e+12,-7.02549e-05
7400,1.76037e+12,0.000732558
7500,1.76657e+12,0.00425868
7600,1.76558e+12,0.00369572
7700,1.76769e+12,0.0048953
7800,1.77634e+12,0.00981201
7900,1.77542e+12,0.00929193
8000,1.77917e+12,0.0114206
8100,1.77318e+12,0.00801435
8200,1.76241e+12,0.00189462
8300,1.76294e+12,0.00219485
8400,1.76679e+12,0.00438215
8500,1.77408e+12,0.00852988
8600,1.77179e+12,0.0072278
8700,1.76487e+12,0.00329394
8800,1.76121e+12,0.00121098
8900,1.76506e+12,0.00339817
9000,1.76063e+12,0.000883203
9100,1.76941e+12,0.0058738
9200,1.77694e+12,0.0101546
9300,1.77446e+12,0.00874582
9400,1.76297e+12,0.00221255
9500,1.76472e+12,0.00320637
9600,1.7748e+12,0.00893875
9700,1.77099e+12,0.0067729
9800,1.76948e+12,0.00591169
9900,1.76184e+12,0.00157014
10000,1.76334e+12,0.00242562
