body_index,force_x,force_y
0,4427.09,-3175.64
1,-1.10343e+08,1.13926e+08
2,3.55842e+07,1.33726e+08
3,-6.19365e+06,1.50578e+08
4,9.16204e+07,1.16801e+08
5,6.2302e+07,-1.3125e+08
6,-1.10075e+08,-9.44505e+07
7,1.30188e+08,-1.15155e+07
8,-1.41146e+08,7.35929e+06
9,8.64789e+07,-1.24545e+08
10,9.62121e+07,-9.84884e+07
11,1.36503e+08,1.07185e+07
12,4.02762e+07,1.26591e+08
13,-1.29333e+08,-318120
14,8.7161e+07,-9.997e+07
15,-1.30452e+08,-1.17965e+07
16,1.32483e+08,4.78008e+06
17,-1.20901e+08,-1.12404e+07
18,-9.14783e+07,7.63195e+07
19,-5.78521e+06,-1.1753e+08
20,1.19411e+08,1.07992e+07
21,9.05568e+06,1.12423e+08
22,5.75865e+07,9.54654e+07
23,9.72885e+07,-4.33619e+07
24,2.53798e+07,-1.03404e+08
25,-4.73903e+07,-9.10726e+07
26,-9.60139e+07,3.23388e+07
27,-7.11398e+07,7.89273e+07
28,-9.864e+07,2.55712e+07
29,-3.50421e+07,9.37355e+07
30,-7.47072e+07,-6.91134e+07
31,4.95141e+07,8.53471e+07
32,-1.03155e+08,-1.97579e+06
33,-6.13369e+07,-6.18911e+07
34,-5.23512e+07,8.11724e+07
35,-4.74553e+06,-9.37607e+07
36,-9.18052e+07,-7.94367e+06
37,5.28558e+07,7.52759e+07
38,-8.45226e+07,-3.63876e+07
39,-4.53263e+07,-8.59652e+07
40,8.33446e+07,-4.08987e+07
41,4.06008e+07,-8.06345e+07
42,-8.57901e+07,-2.857e+07
43,8.59928e+07,2.6067e+07
44,-4.69136e+07,-7.65598e+07
45,-6.95442e+06,8.48167e+07
46,-8.12698e+07,-2.33307e+07
47,4.49214e+07,6.06052e+07
48,7.69289e+07,2.98148e+07
49,-3.53492e+07,-6.9089e+07
50,-1.10731e+07,8.17931e+07
51,5.50588e+07,-5.96357e+07
52,-2.63936e+07,7.96531e+07
53,-7.48138e+07,1.76578e+07
54,-3.09888e+07,-7.57661e+07
55,-7.97072e+07,-1.81562e+07
56,2.59581e+07,7.23266e+07
57,4.61348e+07,7.4339e+07
58,-5.64829e+07,-5.46763e+07
59,-1.53836e+07,-7.46692e+07
60,-6.77554e+07,-2.96495e+07
61,-7.0884e+07,2.0996e+07
62,-4.89657e+07,-4.51558e+07
63,-4.16743e+07,-5.7473e+07
64,-1.75026e+07,-7.27792e+07
65,-5.45573e+07,4.11989e+07
66,3.46947e+07,6.34167e+07
