body_index,force_x,force_y
0,4434.48,-3186.48
1,-1.10344e+08,1.13928e+08
2,3.5586e+07,1.33726e+08
3,-6.1913e+06,1.50577e+08
4,9.16273e+07,1.16796e+08
5,6.22846e+07,-1.31255e+08
6,-1.10071e+08,-9.44582e+07
7,1.3019e+08,-1.15226e+07
8,-1.4115e+08,7.35731e+06
9,8.64618e+07,-1.24553e+08
10,9.62061e+07,-9.84909e+07
11,1.36499e+08,1.07076e+07
12,4.02869e+07,1.26585e+08
13,-1.29335e+08,-315949
14,8.71519e+07,-9.99741e+07
15,-1.30451e+08,-1.18004e+07
16,1.32484e+08,4.77764e+06
17,-1.20903e+08,-1.12371e+07
18,-9.14794e+07,7.63222e+07
19,-5.79651e+06,-1.17528e+08
20,1.19411e+08,1.07944e+07
21,9.05946e+06,1.1242e+08
22,5.75854e+07,9.54661e+07
23,9.72842e+07,-4.33659e+07
24,2.53765e+07,-1.03403e+08
25,-4.73929e+07,-9.10705e+07
26,-9.60126e+07,3.2346e+07
27,-7.11311e+07,7.89338e+07
28,-9.86366e+07,2.5576e+07
29,-3.50383e+07,9.37366e+07
30,-7.47111e+07,-6.91043e+07
31,4.95096e+07,8.53489e+07
32,-1.03155e+08,-1.9735e+06
33,-6.13313e+07,-6.18994e+07
34,-5.23447e+07,8.11744e+07
35,-4.7568e+06,-9.37575e+07
36,-9.18035e+07,-7.9386e+06
37,5.28574e+07,7.52719e+07
38,-8.45253e+07,-3.6381e+07
39,-4.5337e+07,-8.59604e+07
40,8.33422e+07,-4.09013e+07
41,4.06021e+07,-8.06335e+07
42,-8.57886e+07,-2.8562e+07
43,8.59917e+07,2.60708e+07
44,-4.69139e+07,-7.65539e+07
45,-6.95649e+06,8.48157e+07
46,-8.12692e+07,-2.33322e+07
47,4.49228e+07,6.05999e+07
48,7.69294e+07,2.98094e+07
49,-3.53536e+07,-6.90833e+07
50,-1.107e+07,8.1793e+07
51,5.50615e+07,-5.96344e+07
52,-2.6391e+07,7.96526e+07
53,-7.48109e+07,1.76601e+07
54,-3.09946e+07,-7.57647e+07
55,-7.97069e+07,-1.81502e+07
56,2.59584e+07,7.23246e+07
57,4.61341e+07,7.43403e+07
58,-5.64867e+07,-5.46733e+07
59,-1.5381e+07,-7.46723e+07
60,-6.77567e+07,-2.96421e+07
61,-7.08829e+07,2.09963e+07
62,-4.89671e+07,-4.51592e+07
63,-4.16725e+07,-5.74746e+07
64,-1.7503e+07,-7.27762e+07
65,-5.45566e+07,4.12e+07
66,3.46959e+07,6.34135e+07
67,-6.99414e+07,2.17955e+07
68,-6.95219e+07,1.0961e+07
69,-3.92084e+07,-6.21564e+07
70,5.22985e+07,-4.29314e+07
71,6.41602e+07,-2.62228e+07
72,-6.60842e+07,-1.59112e+07
73,-2.05784e+06,-6.47228e+07
74,-6.49278e+07,-3.23524e+07
75,-3.94563e+07,-5.18656e+07
76,4.00982e+07,4.96468e+07
77,3.44662e+07,-4.68189e+07
78,2.78499e+07,5.60828e+07
79,1.43834e+07,-6.19204e+07
80,5.34865e+07,2.29417e+07
81,-6.05928e+07,3.90905e+06
82,-3.98726e+07,-4.49084e+07
83,3.92309e+07,-4.66933e+07
84,1.0865e+07,-5.71691e+07
85,4.32428e+07,3.83027e+07
86,4.46347e+07,-3.98175e+07
87,5.40577e+07,2.43739e+07
88,-3.58982e+07,-4.77373e+07
89,-1.41594e+07,-5.55328e+07
90,3.80794e+07,-4.94147e+07
91,-9.20617e+06,-5.20275e+07
92,-2.3935e+07,-5.07622e+07
93,1.81361e+07,5.45821e+07
94,1.30799e+07,-5.33002e+07
95,4.01294e+06,5.58408e+07
96,-4.72557e+07,2.11685e+07
97,-5.20851e+07,-1.98604e+07
98,3.68711e+07,4.13105e+07
99,-5.51149e+07,1.04463e+07
100,-6.98135e+06,-5.82401e+07
101,5.20916e+07,-5.60925e+06
102,2.66438e+07,-4.73063e+07
103,-1.93455e+07,4.85628e+07
104,-2.48731e+07,4.65059e+07
105,-4.43048e+07,-3.96376e+07
106,4.50891e+07,2.36797e+07
107,3.3772e+07,-3.91977e+07
108,4.96676e+07,2.51543e+06
109,-2.60874e+07,4.37155e+07
110,-4.33189e+07,-2.70932e+07
111,4.38681e+07,-2.01238e+07
112,3.21679e+06,4.96424e+07
113,-3.85016e+07,2.85653e+07
114,4.62158e+07,-1.21052e+07
115,-4.79385e+07,1.51653e+07
116,-8.96774e+06,-4.77943e+07
117,-1.8697e+06,-4.58065e+07
118,4.64882e+07,-956238
119,-4.5617e+07,-7.16959e+06
120,-1.92997e+07,4.54549e+07
121,4.76689e+07,518313
122,-3.31549e+07,-3.12371e+07
123,2.79154e+07,-3.67778e+07
124,-3.16377e+07,3.12501e+07
125,4.29351e+07,1.53998e+07
126,3.96248e+07,2.29482e+07
127,3.67391e+07,2.77932e+07
128,-1.19623e+07,4.22345e+07
129,-3.42769e+07,2.92408e+07
130,1.71868e+07,4.01336e+07
131,4.10969e+07,-1.6211e+07
132,-1.88547e+07,3.92679e+07
133,-1.67522e+07,-4.25e+07
134,-3.88761e+07,2.01048e+07
135,1.20369e+07,4.17393e+07
136,-2.43117e+07,-3.42624e+07
137,-1.30425e+07,-3.71423e+07
138,3.97967e+07,6.27211e+06
139,-1.26604e+07,-3.49393e+07
140,384962,-4.59904e+07
141,3.82968e+07,2.41832e+07
142,-1.43865e+07,-3.37229e+07
143,-1.83655e+06,-4.10348e+07
144,7.68871e+06,3.84153e+07
145,-3.46332e+07,1.00654e+07
146,-6.43131e+06,3.60435e+07
147,-3.25551e+07,2.24731e+07
148,-4.49566e+07,-4.02176e+06
149,2.70104e+07,-2.51017e+07
150,3.67777e+07,-9.10404e+06
151,2.93933e+06,-4.35074e+07
152,3.47313e+07,1.30484e+07
153,-4.57188e+07,-4.51081e+06
154,-1.51775e+07,4.02765e+07
155,-3.53393e+07,-1.48801e+07
156,1.62164e+07,-3.30591e+07
157,-3.68016e+07,7.4951e+06
158,-2.07802e+07,3.18404e+07
159,-2.98452e+07,1.63242e+07
160,3.74255e+07,-2.11712e+07
161,-3.82438e+07,1.04933e+07
162,3.62584e+07,-9.68383e+06
163,2.92791e+07,-2.43374e+07
164,2.11336e+07,-2.8833e+07
165,1.49687e+07,-3.38311e+07
166,-3.83921e+07,4.83675e+06
167,3.42487e+07,-1.5628e+07
168,3.63484e+07,2.04053e+07
169,1.17032e+07,3.45534e+07
170,-1.18116e+07,3.3323e+07
171,-3.93285e+07,3.39873e+06
172,-2.6889e+07,2.01601e+07
173,3.42843e+07,6.84864e+06
174,3.39339e+07,-6.76817e+06
175,-1.48587e+07,-3.22471e+07
176,1.33646e+07,-3.15742e+07
177,-3.01963e+07,-1.46676e+07
178,3.58455e+07,1.93803e+06
179,2.52499e+07,-2.23767e+07
180,-1.16301e+06,-3.43695e+07
181,-2.30777e+07,2.60802e+07
182,3.07531e+07,-1.51237e+07
183,3.36344e+07,-6.07299e+06
184,-2.83937e+07,-2.07839e+07
185,-1.35592e+07,-3.34501e+07
186,-2.85138e+07,-1.28844e+07
187,3.18457e+07,-5.07579e+06
188,3.31786e+07,1.17835e+06
189,1.62388e+07,3.00739e+07
190,2.5799e+07,2.11234e+07
191,1.90236e+07,2.42138e+07
